Model,Total Training Time (s),Train Accuracy,Train Precision (Mac),Train Precision (Wtd),Train Recall (Mac),Train Recall (Wtd),Train F1 (Mac),Train F1 (Wtd),Val Accuracy,Val Precision (Mac),Val Precision (Wtd),Val Recall (Mac),Val Recall (Wtd),Val F1 (Mac),Val F1 (Wtd)
Logistic Regression,436.487042427063,0.8997930864126454,0.773203587253325,0.915087999259593,0.9059658833240978,0.8997930864126454,0.8205965594158003,0.9041178231321869,0.8804354860717446,0.7300472738922335,0.8989104725267841,0.8374216991803486,0.8804354860717446,0.7681932740471934,0.8866670555524211
SGD Classifier,238.64091515541077,0.8851562205450323,0.781641296297553,0.8878664518492686,0.7529150131026345,0.8851562205450323,0.7623752680565848,0.885523098182237,0.8797369648090317,0.7618884986206091,0.8818824855401786,0.7264750847252526,0.8797369648090317,0.7364965124742361,0.8794326755710549
