Model,Total Training Time (s),Train Accuracy,Train Precision (Mac),Train Precision (Wtd),Train Recall (Mac),Train Recall (Wtd),Train F1 (Mac),Train F1 (Wtd),Val Accuracy,Val Precision (Mac),Val Precision (Wtd),Val Recall (Mac),Val Recall (Wtd),Val F1 (Mac),Val F1 (Wtd)
XGBoost Classifier,2676.114174604416,0.9190884368838663,0.8765910428178956,0.9216597275497882,0.7865863324011144,0.9190884368838663,0.8165225191611667,0.917899808112848,0.9045183110587385,0.8285016229582262,0.9061947780322918,0.7475754095535192,0.9045183110587385,0.7723629858457816,0.90268364836605
LightGBM Classifier,1592.4999425411224,0.9030352996319184,0.761704065840379,0.9220750372425078,0.8941372051079582,0.9030352996319184,0.8051018620425102,0.9087598741419957,0.889159176930584,0.7340065791320999,0.9107454920378364,0.8480106489712176,0.889159176930584,0.7707461858970155,0.8962250807416166
Random Forest Classifier,2306.107408285141,0.9986496515296054,0.9904956351480643,0.9986884736018427,0.9989795674402032,0.9986496515296054,0.9946520220792656,0.9986591713977578,0.898721369912254,0.7808118509451469,0.9002429487600878,0.763534801949493,0.898721369912254,0.768996229269158,0.898635150958578
